Nome do Professor					RevA1	RevA2	RevB1	RevB2	RevB3	RevB4	RevB5	RevC	RevN/C	EveA1	EveA2	EveB1	EveB2	EveB3	EveB4	EveB5	EveC	EveN/C	bancasD	bancasM	bancasG	OriCoD	OriCoM	OriCoG	OriAnD	OriAnM	OriAnG

Adriana Cesário de Faria Alvim				2	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	3	10	10	0	8	1	0	3	0	
Bernardo Pereira Nunes					0	0	0	0	0	1	0	1	0	4	0	7	2	2	0	0	0	0	0	4	0	0	0	0	0	1	0	
Leila Cristina Vasconcelos de Andrade			0	2	0	0	1	2	0	0	0	0	1	0	7	1	5	0	0	0	0	11	22	0	10	14	0	2	0	
Kate Cerqueira Revoredo					1	2	0	1	2	2	1	0	0	1	1	7	3	1	26	1	0	0	5	25	23	0	13	9	3	7	0	
Sean Wolfgand Matsui Siqueira				0	5	0	0	8	6	0	1	0	2	1	13	16	5	24	3	0	0	12	65	22	2	24	7	4	12	1	
Total Linha Representação de Conhecimento e Raciocínio	0,6	2	0	0,2	2,2	2,2	0,2	0,6	0	1,4	0,6	5,4	5,6	2	11,6	0,8	0	0,2	4	23	15,4	0,4	11	6,2	1,4	5	0,2	

Astério Kiyoshi Tanaka					1	0	0	1	1	1	0	4	0	0	0	1	1	3	11	0	0	0	11	31	4	0	34	7	0	2	0	
Carlos Alberto Vieira Campos				1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	7	0	0	2	14	11	0	8	7	2	6	0	
Fernanda Araújo Baião Amorim				1	3	6	1	7	9	1	3	0	2	3	3	9	7	16	1	0	2	12	14	8	1	29	10	2	4	1	
Leonardo Guerreiro Azevedo				1	0	1	0	4	3	1	2	0	0	0	3	1	4	13	0	0	0	1	18	16	0	7	18	0	2	1	
Morganna Carmem Diniz					0	3	2	0	4	1	0	0	0	0	0	0	3	0	7	2	0	0	2	28	4	0	10	16	0	0	0	
Sidney Cunha de Lucena					1	1	0	0	0	0	0	1	0	0	1	0	2	0	2	9	0	0	1	27	6	0	9	8	2	4	2	
Total Linha Distribuição e Redes			0,8	1,2	1,5	0,3	2,7	2,3	0,5	1,8	0	0,3	0,7	1,2	2,8	2,3	8,3	3,2	0	0,3	4,8	22	8,2	0,2	16,2	11	1	3	0,7	

Claudia Cappelli					0	0	1	2	5	3	0	3	0	2	0	0	1	7	21	1	0	0	4	17	16	0	6	10	5	10	0	
Flávia Maria Santoro					2	2	6	1	13	3	0	16	0	1	0	6	17	9	36	1	0	0	22	64	27	1	36	26	4	3	0	
Gleison dos Santos Santos				0	0	0	2	2	1	2	0	0	0	0	5	6	41	10	1	0	0	5	20	13	1	14	14	3	5	2	
Márcio de Oliveira Barros				1	5	1	4	1	4	1	1	0	2	0	8	19	4	13	2	0	24	5	25	29	1	16	26	3	2	4	
Mariano Pimentel					1	1	2	0	4	0	0	3	0	0	1	1	13	2	9	1	0	0	9	32	34	0	16	11	2	2	0	
Renata Mendes de Araujo					0	2	2	4	4	3	1	10	0	0	0	5	8	2	14	2	0	1	15	45	25	1	28	17	4	7	0	
Simone Bacellar Leal Ferreira				0	0	0	0	4	3	0	21	0	0	2	3	2	0	9	1	0	0	3	34	17	0	33	20	1	7	0	
Total Linha Sistemas de Apoio a Negócios		0,6	1,4	1,7	1,9	4,7	2,4	0,6	7,7	0	0,7	0,4	4	9,4	9,3	16	1,3	0	3,6	9	33,9	23	0,6	21,3	17,7	3,1	5,1	0,9	

Total programa PPGI-UNIRIO				0,7	1,5	1,2	0,9	3,3	2,3	0,4	3,8	0	0,8	0,6	3,4	6,2	4,9	12,2	1,8	0	1,6	6,2	26,9	15,9	0,4	16,7	12,3	1,9	4,4	0,6	
