Nome do Professor					RevA1	RevA2	RevB1	RevB2	RevB3	RevB4	RevB5	RevC	RevN/C	EveA1	EveA2	EveB1	EveB2	EveB3	EveB4	EveB5	EveC	EveN/C	bancasD	bancasM	bancasG	OriCoD	OriCoM	OriCoG	OriAnD	OriAnM	OriAnG

Adriana Cesário de Faria Alvim				1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	1	2	7	0	5	1	0	3	0	
Bernardo Pereira Nunes					0	0	0	0	0	0	0	1	2	4	0	7	2	2	0	0	0	34	0	4	0	0	0	0	0	1	0	
Leila Cristina Vasconcelos de Andrade			0	2	0	0	1	1	0	0	0	0	0	0	2	1	3	0	0	10	0	9	19	0	10	10	0	2	0	
Kate Cerqueira Revoredo					0	2	0	1	2	2	1	0	0	1	1	2	2	1	23	1	0	37	5	25	17	0	13	7	3	7	0	
Sean Wolfgand Matsui Siqueira				0	5	0	0	5	6	0	0	0	2	1	10	8	2	14	0	0	22	10	51	17	0	17	7	4	12	1	
Total Linha Representação de Conhecimento e Raciocínio	0,2	1,8	0	0,2	1,6	1,8	0,2	0,2	0,8	1,4	0,4	3,8	2,8	1,2	8	0,2	0	22	3,2	18,2	12	0	9	5	1,4	5	0,2	

Astério Kiyoshi Tanaka					0	0	0	0	1	0	0	2	1	0	0	0	1	0	8	0	0	12	2	5	4	0	4	5	0	2	0	
Carlos Alberto Vieira Campos				1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	7	0	4	2	14	8	0	8	4	2	6	0	
Fernanda Araújo Baião Amorim				1	2	4	1	7	7	1	3	0	1	2	1	7	2	12	1	0	34	9	6	4	1	20	5	2	4	1	
Leonardo Guerreiro Azevedo				1	0	0	0	4	3	1	2	0	0	0	2	0	1	12	0	0	40	1	14	10	0	6	14	0	2	1	
Morganna Carmem Diniz					0	1	1	0	4	0	0	0	0	0	0	0	3	0	5	2	0	7	1	13	3	0	7	6	0	0	0	
Sidney Cunha de Lucena					1	1	0	0	0	0	0	0	0	0	1	0	2	0	1	7	0	9	1	21	3	0	8	7	2	4	2	
Total Linha Distribuição e Redes			0,7	0,7	0,8	0,2	2,7	1,7	0,3	1,3	0,2	0,2	0,5	0,5	2,3	0,5	6,3	2,8	0	17,7	2,7	12,2	5,3	0,2	8,8	6,8	1	3	0,7	

Claudia Cappelli					0	0	0	2	5	3	0	3	2	1	0	0	0	3	21	1	0	35	4	17	8	0	6	4	5	10	0	
Flávia Maria Santoro					0	2	4	1	8	3	0	8	0	1	0	1	6	5	21	1	0	47	12	41	14	1	23	9	4	3	0	
Gleison dos Santos Santos				0	0	0	0	2	1	2	0	2	0	0	4	1	20	7	1	0	36	4	16	13	1	14	11	3	5	2	
Márcio de Oliveira Barros				0	4	0	2	1	2	0	0	1	2	0	1	4	2	8	0	0	11	2	13	13	1	9	9	3	2	4	
Mariano Pimentel					1	1	2	0	2	0	0	2	1	0	0	0	2	0	5	1	0	19	8	27	30	0	14	10	2	2	0	
Renata Mendes de Araujo					0	2	1	1	3	2	1	3	1	0	0	0	2	1	12	2	0	26	7	23	6	1	18	3	4	7	0	
Simone Bacellar Leal Ferreira				0	0	0	0	4	1	0	15	1	0	2	2	2	0	3	0	0	50	2	12	2	0	12	4	1	7	0	
Total Linha Sistemas de Apoio a Negócios		0,1	1,3	1	0,9	3,6	1,7	0,4	4,4	1,1	0,6	0,3	1,1	2,4	4,4	11	0,9	0	32	5,6	21,3	12,3	0,6	13,7	7,1	3,1	5,1	0,9	

Total programa PPGI-UNIRIO				0,3	1,2	0,7	0,4	2,7	1,7	0,3	2,2	0,7	0,7	0,4	1,7	2,5	2,2	8,6	1,3	0	24,4	3,9	17,4	9,9	0,3	10,8	6,4	1,9	4,4	0,6	
