Nome do Professor					RevA1	RevA2	RevB1	RevB2	RevB3	RevB4	RevB5	RevC	RevN/C	EveA1	EveA2	EveB1	EveB2	EveB3	EveB4	EveB5	EveC	EveN/C	bancasD	bancasM	bancasG	OriCoD	OriCoM	OriCoG	OriAnD	OriAnM	OriAnG

Adriana Cesário de Faria Alvim				1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	7	0	4	1	0	2	0	
Bernardo Pereira Nunes					0	0	0	0	0	0	0	1	1	4	0	3	2	2	0	0	0	27	0	3	0	0	0	0	0	1	0	
Leila Cristina Vasconcelos de Andrade			0	2	0	0	1	1	0	0	0	0	0	0	1	1	2	0	0	1	0	2	9	0	4	6	0	2	0	
Kate Cerqueira Revoredo					0	2	0	1	1	1	1	0	0	0	0	2	1	0	13	0	0	20	1	17	12	0	10	4	1	4	0	
Sean Wolfgand Matsui Siqueira				0	4	0	0	4	2	0	0	0	1	0	3	3	1	5	0	0	7	9	29	9	0	8	2	2	6	1	
Total Linha Representação de Conhecimento e Raciocínio	0,2	1,6	0	0,2	1,2	0,8	0,2	0,2	0,4	1	0	1,6	1,4	0,8	4	0	0	12	2	10,4	7,4	0	5,2	2,6	0,6	3	0,2	

Astério Kiyoshi Tanaka					0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	9	1	4	4	0	1	4	0	2	0	
Carlos Alberto Vieira Campos				1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	2	8	3	0	7	3	1	3	0	
Fernanda Araújo Baião Amorim				1	1	2	0	5	3	1	2	0	1	0	0	3	0	8	0	0	15	3	3	2	0	9	3	2	4	1	
Leonardo Guerreiro Azevedo				1	0	0	0	3	0	1	0	0	0	0	1	0	0	4	0	0	23	1	6	6	0	4	6	0	2	1	
Morganna Carmem Diniz					0	1	0	0	3	0	0	0	0	0	0	0	1	0	2	1	0	3	0	7	0	0	3	2	0	0	0	
Sidney Cunha de Lucena					1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	3	1	13	0	0	4	4	2	4	2	
Total Linha Distribuição e Redes			0,7	0,5	0,3	0	1,8	0,5	0,3	0,5	0,2	0,2	0	0,2	0,8	0	3,2	1,8	0	9,3	1,3	6,8	2,5	0	4,7	3,7	0,8	2,5	0,7	

Claudia Cappelli					0	0	0	1	2	1	0	2	1	0	0	0	0	0	7	1	0	20	3	7	5	0	1	3	2	5	0	
Flávia Maria Santoro					0	2	2	0	4	2	0	6	0	0	0	1	3	1	11	0	0	19	6	14	7	1	10	3	4	3	0	
Gleison dos Santos Santos				0	0	0	0	2	1	2	0	2	0	0	4	0	12	3	1	0	21	2	8	10	0	8	9	2	5	2	
Márcio de Oliveira Barros				0	4	0	1	1	1	0	0	1	0	0	0	2	0	5	0	0	5	1	7	8	0	3	3	3	2	4	
Mariano Pimentel					0	1	2	0	2	0	0	0	1	0	0	0	2	0	2	1	0	2	4	13	26	0	7	7	2	2	0	
Renata Mendes de Araujo					0	1	1	1	2	0	1	1	0	0	0	0	0	0	4	0	0	12	2	6	3	1	6	2	2	4	0	
Simone Bacellar Leal Ferreira				0	0	0	0	2	1	0	8	1	0	0	1	0	0	2	0	0	26	1	6	0	0	5	4	1	7	0	
Total Linha Sistemas de Apoio a Negócios		0	1,1	0,7	0,4	2,1	0,9	0,4	2,4	0,9	0	0	0,9	1	1,9	4,9	0,4	0	15	2,7	8,7	8,4	0,3	5,7	4,4	2,3	4	0,9	

Total programa PPGI-UNIRIO				0,3	1,1	0,4	0,2	1,8	0,7	0,3	1,2	0,5	0,3	0	0,8	1,1	0,9	4,1	0,8	0	12,3	2,1	8,6	6,2	0,1	5,2	3,7	1,3	3,2	0,6	
